rank,player,team,league,pos_group,age,minutes,breakout_score,league_factor,overall,potential,ceiling,value_eur,npxg90,xa90,npga90,shots90,kp90,xgchain90,xgbuildup90,z_npxg90,z_xa90,z_npga90,z_shots90,z_kp90,z_xgchain90,z_xgbuildup90
117,Arnau Martinez,Girona,ESP-La Liga,DF,22,2666,0.442,0.899,78.0,83.0,5.0,20000000.0,0.072,0.091,0.169,0.641,0.776,0.369,0.303,0.335,0.576,0.875,0.185,0.604,0.302,0.217
118,Diego Gómez,Brighton,ENG-Premier League,MF,22,2120,0.434,1.0,77.0,84.0,7.0,20000000.0,0.272,0.089,0.255,1.783,0.849,0.612,0.301,1.548,-0.487,0.187,0.749,-0.47,1.046,0.468
119,Paul Nebel,Mainz 05,GER-Bundesliga,MF,22,2073,0.429,0.887,76.0,83.0,7.0,15000000.0,0.25,0.232,0.304,1.389,1.78,0.611,0.184,1.022,0.898,0.278,-0.046,0.834,0.672,-0.654
120,Diego Moreira,Strasbourg,FRA-Ligue 1,MF,20,2034,0.426,0.815,78.0,84.0,6.0,22000000.0,0.098,0.307,0.442,1.283,1.637,0.628,0.389,-0.462,1.425,0.838,-0.315,0.397,0.507,0.592
121,Ismaëlo Ganiou,Lens,FRA-Ligue 1,DF,20,2014,0.42,0.815,75.0,83.0,8.0,11500000.0,0.096,0.022,0.134,1.028,0.402,0.486,0.467,0.691,-0.652,0.328,1.058,-0.347,0.763,1.098
122,Adam Daghim,Wolfsburg,GER-Bundesliga,MF,19,1364,0.42,0.887,72.0,80.0,8.0,5000000.0,0.205,0.203,0.33,1.782,1.188,0.646,0.294,0.602,0.592,0.42,0.456,-0.105,0.836,0.137
123,Anton Kade,Augsburg,GER-Bundesliga,MF,21,1743,0.416,0.887,73.0,80.0,7.0,6000000.0,0.347,0.16,0.31,2.478,1.291,0.564,0.095,1.913,0.139,0.31,1.348,0.058,0.443,-1.297
124,Samuele Ricci,Milan,ITA-Serie A,MF,23,1312,0.411,0.928,79.0,85.0,6.0,25500000.0,0.144,0.191,0.343,1.235,1.372,0.6,0.365,0.102,0.558,0.578,-0.171,0.287,0.751,0.773
125,Antonio Nusa,RB Leipzig,GER-Bundesliga,FW,20,2027,0.402,0.887,78.0,88.0,10.0,31000000.0,0.231,0.211,0.311,2.708,1.465,0.742,0.357,-0.98,0.874,-0.714,0.201,0.727,0.739,1.967
126,Milos Kerkez,Liverpool,ENG-Premier League,DF,21,2257,0.399,1.0,81.0,85.0,4.0,35000000.0,0.056,0.074,0.12,0.359,1.037,0.378,0.274,0.109,0.426,0.462,-0.544,1.473,0.639,0.226
127,Jakub Kamiński,Köln,GER-Bundesliga,MF,23,3016,0.387,0.887,77.0,82.0,5.0,16000000.0,0.238,0.167,0.298,1.85,1.492,0.55,0.281,0.904,0.213,0.248,0.544,0.377,0.378,0.046
128,Aaron Zehnter,Wolfsburg,GER-Bundesliga,DF,20,1456,0.368,0.887,74.0,80.0,6.0,6000000.0,0.112,0.065,0.124,0.68,0.989,0.356,0.192,1.215,0.108,0.333,0.273,1.064,0.193,-0.613
129,Pablo Torre,Mallorca,ESP-La Liga,MF,22,1599,0.364,0.899,74.0,82.0,8.0,9500000.0,0.158,0.166,0.45,1.407,1.914,0.466,0.261,0.189,0.232,1.11,0.001,1.086,0.003,-0.074
130,Nicolás González,Manchester City,ENG-Premier League,MF,23,1569,0.362,1.0,81.0,85.0,4.0,33500000.0,0.035,0.051,0.057,0.803,0.631,0.849,0.813,-0.934,-0.935,-1.027,-0.665,-0.86,2.327,4.629
131,Yan Couto,Dortmund,GER-Bundesliga,MF,23,997,0.36,0.887,77.0,81.0,4.0,14000000.0,0.087,0.257,0.361,0.812,1.535,0.622,0.397,-0.493,1.164,0.59,-0.784,0.445,0.721,0.877
132,Adam Wharton,Crystal Palace,ENG-Premier League,MF,21,2552,0.35,1.0,81.0,87.0,6.0,38000000.0,0.041,0.234,0.212,1.129,1.552,0.518,0.372,-0.875,1.228,-0.078,-0.196,0.785,0.539,1.046
133,Gonzalo García,Real Madrid,ESP-La Liga,FW,21,964,0.346,0.899,74.0,84.0,10.0,9500000.0,0.492,0.153,0.654,1.961,1.214,0.754,0.181,0.651,0.193,0.995,-0.716,0.262,0.843,0.193
134,Javi Rueda,Celta Vigo,ESP-La Liga,MF,23,1404,0.343,0.899,,,,,0.103,0.243,0.513,0.705,0.962,0.581,0.41,-0.332,1.048,1.456,-0.909,-0.443,0.564,1.014
135,Mamadou Sangare,Lens,FRA-Ligue 1,MF,23,2323,0.341,0.815,80.0,87.0,7.0,42000000.0,0.127,0.11,0.271,2.053,1.433,0.702,0.537,-0.215,-0.477,-0.02,0.591,0.1,0.833,1.576
136,Noni Madueke,Arsenal,ENG-Premier League,FW,23,1211,0.335,1.0,80.0,84.0,4.0,30000000.0,0.148,0.298,0.297,1.858,1.635,0.5,0.245,-1.369,2.392,-0.595,-0.58,1.475,-0.114,1.135
137,Alan Matturro,Levante,ESP-La Liga,DF,20,947,0.335,0.899,70.0,80.0,10.0,3300000.0,0.089,0.114,0.19,0.76,0.38,0.318,0.18,0.729,0.967,1.121,0.542,-0.311,-0.024,-0.683
138,Mert Kömür,Augsburg,GER-Bundesliga,MF,20,1464,0.329,0.887,72.0,82.0,10.0,5000000.0,0.286,0.17,0.369,2.52,1.291,0.433,0.108,1.348,0.248,0.632,1.402,0.059,-0.181,-1.203
139,Santiago Hidalgo,Toulouse,FRA-Ligue 1,MF,20,1306,0.326,0.815,70.0,81.0,11.0,3500000.0,0.276,0.188,0.689,2.274,0.896,0.458,0.143,1.047,0.272,2.074,0.851,-0.683,-0.244,-1.035
140,Johan Manzambi,Freiburg,GER-Bundesliga,MF,19,2077,0.319,0.887,77.0,86.0,9.0,22500000.0,0.174,0.155,0.39,2.21,0.823,0.54,0.334,0.317,0.09,0.748,1.005,-0.683,0.329,0.425
141,Charlie Cresswell,Toulouse,FRA-Ligue 1,DF,22,2533,0.315,0.815,77.0,83.0,6.0,15500000.0,0.159,0.043,0.178,1.35,0.391,0.22,0.151,1.975,-0.336,0.785,1.937,-0.371,-0.789,-0.994
142,Piero Hincapié,Arsenal,ENG-Premier League,DF,23,1792,0.311,1.0,83.0,87.0,4.0,48500000.0,0.021,0.107,0.151,0.151,0.653,0.426,0.346,-0.773,1.052,0.861,-1.24,0.488,0.979,0.811
143,Trai Hume,Sunderland,ENG-Premier League,DF,23,3036,0.31,1.0,78.0,81.0,3.0,18000000.0,0.08,0.062,0.089,1.008,0.8,0.244,0.125,0.735,0.185,0.067,1.628,0.866,-0.325,-0.983
144,Jonathan Rowe,Bologna,ITA-Serie A,MF,22,1605,0.308,0.928,75.0,82.0,7.0,11500000.0,0.279,0.151,0.28,2.692,1.178,0.462,0.077,1.407,0.125,0.221,1.78,-0.035,0.056,-1.399
145,Hannibal Mejbri,Burnley,ENG-Premier League,MF,22,1229,0.305,1.0,75.0,82.0,7.0,11500000.0,0.055,0.208,0.366,1.391,1.538,0.436,0.247,-0.725,0.923,0.872,0.184,0.76,0.097,0.027
146,Álex Valle,Como,ITA-Serie A,DF,21,2026,0.304,0.928,74.0,84.0,10.0,9000000.0,0.039,0.066,0.222,0.489,0.622,0.375,0.301,-0.374,0.168,1.575,-0.227,0.293,0.42,0.27
147,Marc Pubill,Atlético Madrid,ESP-La Liga,DF,22,1381,0.29,0.899,80.0,87.0,7.0,40000000.0,0.086,0.041,0.13,0.717,0.196,0.449,0.375,0.667,-0.297,0.43,0.412,-0.737,0.817,0.741
148,Valentín Barco,Strasbourg,FRA-Ligue 1,MF,21,2168,0.288,0.815,78.0,84.0,6.0,21500000.0,0.137,0.22,0.249,1.121,1.577,0.709,0.455,-0.136,0.583,-0.131,-0.506,0.31,0.863,1.031
149,Carlos Álvarez,Levante,ESP-La Liga,MF,21,1890,0.28,0.899,77.0,83.0,6.0,17000000.0,0.126,0.219,0.19,1.476,1.905,0.523,0.294,-0.115,0.792,-0.326,0.091,1.072,0.283,0.163
150,Álvaro Rodríguez,Elche,ESP-La Liga,FW,21,2201,0.275,0.899,72.0,83.0,11.0,5000000.0,0.498,0.158,0.491,3.026,1.308,0.616,0.115,0.688,0.258,0.193,0.656,0.452,0.173,-0.497
151,Assane Diao,Como,ITA-Serie A,MF,19,1075,0.265,0.928,76.0,87.0,11.0,16000000.0,0.266,0.141,0.251,2.595,0.753,0.539,0.151,1.279,0.009,0.054,1.652,-0.738,0.443,-0.846
152,Derry Scherhant,Freiburg,GER-Bundesliga,MF,22,1301,0.262,0.887,73.0,78.0,5.0,4700000.0,0.229,0.136,0.415,2.49,1.522,0.378,0.121,0.827,-0.111,0.885,1.364,0.425,-0.445,-1.108
153,Sael Kumbedi,Wolfsburg,GER-Bundesliga,DF,20,1804,0.262,0.887,75.0,81.0,6.0,8000000.0,0.023,0.156,0.249,0.249,0.898,0.305,0.203,-0.778,1.653,1.769,-1.004,0.856,-0.135,-0.531
154,El Hadji Malick Diouf,West Ham,ENG-Premier League,DF,20,2707,0.259,1.0,78.0,84.0,6.0,20500000.0,0.019,0.108,0.166,0.598,0.964,0.231,0.169,-0.827,1.077,1.061,0.258,1.287,-0.42,-0.621
155,Victor Parada,Alavés,ESP-La Liga,DF,23,2146,0.251,0.899,70.0,74.0,4.0,2100000.0,0.078,0.1,0.126,0.503,0.587,0.34,0.29,0.483,0.72,0.378,-0.231,0.167,0.115,0.124
156,Oscar Bobb,Manchester City,ENG-Premier League,MF,22,1039,0.246,1.0,76.0,84.0,8.0,17000000.0,0.124,0.175,0.087,1.039,1.906,0.499,0.307,-0.006,0.53,-0.847,-0.324,1.417,0.437,0.514
157,Joel Roca,Girona,ESP-La Liga,MF,20,1473,0.239,0.899,73.0,82.0,9.0,6500000.0,0.276,0.119,0.244,2.933,0.978,0.507,0.122,1.294,-0.27,-0.028,1.981,-0.417,0.204,-1.093
158,Ibrahim Mbaye,PSG,FRA-Ligue 1,FW,17,1006,0.237,0.815,74.0,85.0,11.0,8500000.0,0.307,0.211,0.447,2.147,1.789,0.772,0.282,-0.671,0.672,-0.227,-0.734,1.081,0.582,0.958
159,Joe Scally,Gladbach,GER-Bundesliga,DF,22,2608,0.234,0.887,75.0,78.0,3.0,7000000.0,0.093,0.056,0.173,0.587,0.621,0.333,0.241,0.795,-0.051,0.892,-0.003,0.226,0.042,-0.263
160,Kassoum Ouattara,Monaco,FRA-Ligue 1,MF,20,967,0.227,0.815,72.0,80.0,8.0,4900000.0,0.11,0.252,0.279,1.117,1.582,0.671,0.381,-0.36,0.889,0.02,-0.511,0.317,0.695,0.541
161,Kacper Potulski,Mainz 05,GER-Bundesliga,DF,17,1065,0.222,0.887,68.0,83.0,15.0,2600000.0,0.221,0.052,0.085,1.183,0.169,0.104,0.076,3.675,-0.113,-0.113,1.766,-0.804,-1.415,-1.445
162,Carlos Espí,Levante,ESP-La Liga,FW,20,1343,0.214,0.899,75.0,84.0,9.0,12000000.0,0.662,0.046,0.737,3.82,0.603,0.625,0.024,1.704,-1.114,1.407,1.68,-0.963,0.218,-1.436
163,Cristian Volpato,Sassuolo,ITA-Serie A,FW,21,1064,0.211,0.928,70.0,78.0,8.0,3600000.0,0.148,0.245,0.508,1.776,1.945,0.523,0.191,-1.445,1.425,0.357,-0.88,1.856,-0.194,0.361
164,Arthur Atta,Udinese,ITA-Serie A,MF,22,2557,0.206,0.928,74.0,82.0,8.0,9500000.0,0.149,0.115,0.282,2.006,1.197,0.509,0.289,0.146,-0.28,0.227,0.863,-0.003,0.292,0.196
165,Martim Neto,Elche,ESP-La Liga,MF,22,1347,0.205,0.899,72.0,81.0,9.0,5000000.0,0.07,0.188,0.468,0.802,1.737,0.459,0.329,-0.646,0.465,1.206,-0.784,0.803,-0.03,0.421
166,James Hill,Bournemouth,ENG-Premier League,DF,23,2106,0.203,1.0,75.0,79.0,4.0,7000000.0,0.041,0.061,0.128,0.513,0.556,0.323,0.307,-0.27,0.172,0.572,-0.029,0.238,0.242,0.495
167,Sepp van den Berg,Brentford,ENG-Premier League,DF,23,2763,0.202,1.0,77.0,83.0,6.0,15000000.0,0.109,0.072,0.065,0.749,0.228,0.285,0.209,1.451,0.373,-0.24,0.762,-0.603,-0.034,-0.296
168,Nicolò Savona,Nottingham,ENG-Premier League,DF,22,1028,0.201,1.0,75.0,81.0,6.0,8500000.0,0.108,0.052,0.175,0.438,0.525,0.263,0.135,1.441,-0.002,1.175,-0.28,0.16,-0.187,-0.902
169,Carmona,Sevilla,ESP-La Liga,DF,23,2565,0.199,0.899,77.0,83.0,6.0,15500000.0,0.033,0.083,0.14,0.702,0.772,0.329,0.266,-0.536,0.427,0.546,0.366,0.593,0.049,-0.054
170,Raúl Asencio,Real Madrid,ESP-La Liga,DF,22,1708,0.199,0.899,78.0,83.0,5.0,19500000.0,0.08,0.024,0.105,0.738,0.263,0.416,0.385,0.516,-0.581,0.141,0.474,-0.58,0.604,0.815
171,Karl Etta Eyong,Levante,ESP-La Liga,FW,21,1672,0.198,0.899,75.0,84.0,9.0,12500000.0,0.553,0.152,0.592,2.691,0.807,0.649,0.112,1.029,0.184,0.693,0.225,-0.553,0.336,-0.531
172,Gift Orban,Hellas Verona,ITA-Serie A,FW,23,2027,0.196,0.928,74.0,81.0,7.0,8500000.0,0.476,0.112,0.311,3.774,0.932,0.674,0.114,0.647,-0.257,-0.644,1.777,-0.242,0.562,-0.47
173,Javier Guerra,Valencia,ESP-La Liga,MF,22,2061,0.179,0.899,76.0,84.0,8.0,17000000.0,0.131,0.151,0.437,1.354,1.354,0.483,0.272,-0.066,0.073,1.035,-0.068,0.187,0.089,0.002
174,Marc Casado,Barcelona,ESP-La Liga,MF,21,989,0.177,0.899,78.0,82.0,4.0,18500000.0,0.094,0.053,0.091,1.001,1.274,0.747,0.627,-0.416,-0.976,-0.876,-0.525,0.059,1.371,2.6
175,Yuito Suzuki,Freiburg,GER-Bundesliga,MF,23,1632,0.175,0.887,75.0,78.0,3.0,7500000.0,0.23,0.116,0.331,2.096,1.379,0.465,0.172,0.836,-0.323,0.425,0.858,0.198,-0.029,-0.74
176,Pape Matar Sarr,Tottenham,ENG-Premier League,MF,22,1398,0.174,1.0,80.0,85.0,5.0,32000000.0,0.132,0.157,0.386,1.094,0.708,0.452,0.319,0.078,0.317,0.996,-0.245,-0.722,0.182,0.613
177,Lamine Camara,Monaco,FRA-Ligue 1,MF,21,1847,0.173,0.815,79.0,85.0,6.0,28000000.0,0.065,0.248,0.341,1.218,1.705,0.542,0.379,-0.741,0.855,0.33,-0.391,0.496,0.13,0.53
178,Igor Matanović,Freiburg,GER-Bundesliga,FW,22,1571,0.172,0.887,74.0,78.0,4.0,6000000.0,0.462,0.128,0.687,2.922,1.26,0.561,0.079,0.428,-0.129,1.117,0.472,0.322,-0.129,-0.878
179,Jorrel Hato,Chelsea,ENG-Premier League,DF,19,1148,0.171,1.0,78.0,87.0,9.0,29000000.0,0.027,0.056,0.0,0.314,0.627,0.484,0.456,-0.627,0.067,-1.078,-0.695,0.422,1.396,1.709
180,Gerard Martín,Barcelona,ESP-La Liga,DF,23,2119,0.131,0.899,78.0,82.0,4.0,18000000.0,0.013,0.032,0.0,0.297,0.552,0.614,0.592,-1.004,-0.443,-1.078,-0.85,0.086,1.881,2.326
181,Abdukodir Khusanov,Manchester City,ENG-Premier League,DF,21,1432,0.128,1.0,80.0,86.0,6.0,31000000.0,0.042,0.036,0.0,0.44,0.377,0.48,0.448,-0.227,-0.312,-1.078,-0.272,-0.22,1.366,1.641
182,Crysencio Summerville,West Ham,ENG-Premier League,MF,23,2470,0.126,1.0,78.0,83.0,5.0,21000000.0,0.208,0.118,0.255,1.968,1.02,0.404,0.144,0.871,-0.143,0.189,1.015,-0.165,-0.075,-0.809
183,Niccolò Pisilli,Roma,ITA-Serie A,MF,20,1295,0.126,0.928,72.0,84.0,12.0,5500000.0,0.158,0.154,0.417,1.32,0.834,0.456,0.28,0.233,0.155,1.0,-0.056,-0.605,0.026,0.128
184,Kevin,Fulham,ENG-Premier League,MF,22,1041,0.119,1.0,76.0,81.0,5.0,11500000.0,0.115,0.107,0.173,2.161,1.21,0.417,0.25,-0.094,-0.269,-0.316,1.295,0.175,-0.007,0.05
185,Conor Bradley,Liverpool,ENG-Premier League,DF,22,929,0.119,1.0,79.0,84.0,5.0,25000000.0,0.021,0.116,0.097,0.581,0.388,0.331,0.233,-0.759,1.221,0.169,0.2,-0.194,0.296,-0.103
186,Fabian Rieder,Augsburg,GER-Bundesliga,MF,23,2343,0.114,0.887,74.0,81.0,7.0,8500000.0,0.102,0.206,0.269,1.46,1.69,0.447,0.249,-0.355,0.63,0.087,0.044,0.691,-0.117,-0.185
187,Adam Obert,Cagliari,ITA-Serie A,DF,22,2771,0.109,0.928,73.0,79.0,6.0,4600000.0,0.044,0.12,0.097,0.325,0.844,0.296,0.24,-0.263,1.147,0.086,-0.736,0.823,-0.106,-0.19
188,Joshua King,Fulham,ENG-Premier League,MF,18,1308,0.108,1.0,74.0,84.0,10.0,9000000.0,0.261,0.072,0.206,1.789,1.032,0.426,0.179,1.433,-0.692,-0.11,0.758,-0.143,0.042,-0.528
189,Michael Kayode,Brentford,ENG-Premier League,DF,21,3258,0.106,1.0,80.0,85.0,5.0,29000000.0,0.032,0.088,0.055,0.249,0.912,0.36,0.264,-0.48,0.689,-0.367,-0.912,1.152,0.51,0.151
190,Pau Cubarsí,Barcelona,ESP-La Liga,DF,18,2703,0.102,0.899,83.0,89.0,6.0,48000000.0,0.018,0.014,0.033,0.333,0.166,0.631,0.629,-0.88,-0.752,-0.693,-0.743,-0.804,1.992,2.597
191,Lukas Ullrich,Gladbach,GER-Bundesliga,DF,21,1305,0.099,0.887,73.0,79.0,6.0,4600000.0,0.052,0.062,0.0,0.69,0.966,0.385,0.297,-0.126,0.063,-1.078,0.302,1.01,0.376,0.144
192,Elliot Anderson,Nottingham,ENG-Premier League,MF,22,3331,0.082,1.0,82.0,86.0,4.0,40500000.0,0.072,0.131,0.189,1.189,1.486,0.44,0.323,-0.542,0.011,-0.216,-0.108,0.668,0.119,0.644
193,Abdelhamid Ait Boudlal,Rennes,FRA-Ligue 1,DF,19,1403,0.077,0.815,71.0,82.0,11.0,3800000.0,0.117,0.034,0.192,0.834,0.064,0.286,0.284,1.113,-0.469,0.94,0.53,-1.054,-0.404,-0.118
194,Chema,Stuttgart,GER-Bundesliga,MF,20,1310,0.07,0.887,,,,,0.136,0.084,0.206,1.031,1.031,0.589,0.516,-0.041,-0.66,-0.255,-0.505,-0.354,0.566,1.741
195,Santiago Mouriño,Villarreal,ESP-La Liga,DF,23,2377,0.068,0.899,78.0,85.0,7.0,27000000.0,0.047,0.032,0.114,0.606,0.341,0.396,0.38,-0.238,-0.451,0.236,0.078,-0.402,0.477,0.775
196,Tom Louchet,Nice,FRA-Ligue 1,MF,22,1367,0.068,0.815,73.0,81.0,8.0,7000000.0,0.205,0.219,0.329,1.383,1.317,0.519,0.211,0.45,0.574,0.27,-0.198,-0.07,0.029,-0.583
197,Albian Hajdari,Hoffenheim,GER-Bundesliga,DF,22,2434,0.062,0.887,75.0,79.0,4.0,7500000.0,0.072,0.055,0.111,0.703,0.333,0.335,0.281,0.323,-0.073,0.188,0.341,-0.431,0.054,0.031
198,Kristoffer Lund,Köln,GER-Bundesliga,DF,23,2276,0.058,0.887,72.0,79.0,7.0,4500000.0,0.025,0.069,0.079,0.791,0.791,0.326,0.268,-0.737,0.173,-0.175,0.603,0.612,0.0,-0.068
199,Ignace Van Der Brempt,Como,ITA-Serie A,DF,23,931,0.056,0.928,72.0,78.0,6.0,3500000.0,0.016,0.079,0.097,0.29,0.483,0.423,0.396,-0.928,0.404,0.077,-0.844,-0.037,0.737,0.985
200,Álex Jiménez,Bournemouth,ENG-Premier League,DF,20,2317,0.054,1.0,,,,,0.047,0.066,0.039,0.816,0.583,0.284,0.189,-0.108,0.269,-0.578,0.985,0.307,-0.035,-0.459
201,Matias Fernandez-Pardo,Lille,FRA-Ligue 1,FW,20,2370,0.041,0.815,76.0,84.0,8.0,16500000.0,0.364,0.184,0.418,2.582,1.367,0.645,0.234,-0.349,0.371,-0.359,-0.226,0.313,0.023,0.513
202,Sebastiano Esposito,Cagliari,ITA-Serie A,FW,23,2675,0.038,0.928,75.0,82.0,7.0,11500000.0,0.168,0.188,0.37,1.918,2.389,0.386,0.16,-1.32,0.698,-0.342,-0.692,2.773,-0.876,0.028
203,Kobbie Mainoo,Manchester Utd,ENG-Premier League,MF,20,1662,0.038,1.0,79.0,85.0,6.0,25000000.0,0.028,0.064,0.162,0.704,1.191,0.561,0.529,-1.006,-0.776,-0.38,-0.808,0.141,0.771,2.323
204,Nathan Ngoy,Lille,FRA-Ligue 1,DF,22,2405,0.036,0.815,75.0,83.0,8.0,12000000.0,0.058,0.046,0.112,0.823,0.15,0.403,0.395,-0.091,-0.282,0.1,0.501,-0.875,0.279,0.618
205,Víctor Muñoz,Osasuna,ESP-La Liga,MF,22,2656,0.035,0.899,78.0,86.0,8.0,31500000.0,0.241,0.082,0.271,2.745,0.915,0.392,0.13,0.965,-0.669,0.119,1.737,-0.518,-0.357,-1.034
206,Ezequiél Fernández,Leverkusen,GER-Bundesliga,MF,23,984,0.034,0.887,76.0,84.0,8.0,16000000.0,0.049,0.073,0.091,1.006,0.732,0.727,0.673,-0.846,-0.775,-0.881,-0.536,-0.828,1.227,2.874
207,Cesare Casadei,Torino,ITA-Serie A,MF,22,1997,0.029,0.928,75.0,83.0,8.0,12500000.0,0.21,0.082,0.27,1.577,0.766,0.452,0.312,0.734,-0.642,0.164,0.288,-0.717,0.008,0.371
208,Castello Lukeba,RB Leipzig,GER-Bundesliga,DF,22,2176,0.024,0.887,81.0,87.0,6.0,37500000.0,0.037,0.01,0.041,0.331,0.248,0.559,0.552,-0.472,-0.834,-0.606,-0.762,-0.623,1.483,1.979
209,Williot Swedberg,Celta Vigo,ESP-La Liga,FW,21,1270,0.019,0.899,75.0,82.0,7.0,11500000.0,0.368,0.141,0.709,1.63,0.709,0.604,0.232,-0.117,0.046,1.267,-1.142,-0.751,0.118,0.713
210,Destiny Udogie,Tottenham,ENG-Premier League,DF,22,1338,0.016,1.0,79.0,83.0,4.0,24000000.0,0.015,0.075,0.067,0.269,0.807,0.348,0.288,-0.926,0.448,-0.212,-0.844,0.884,0.423,0.342
211,Tino Livramento,Newcastle,ENG-Premier League,DF,22,1328,0.013,1.0,80.0,86.0,6.0,31500000.0,0.01,0.042,0.068,0.203,0.678,0.422,0.38,-1.037,-0.2,-0.206,-1.064,0.551,0.952,1.093
212,Rasmus Højlund,Napoli,ITA-Serie A,FW,22,2750,0.013,0.928,78.0,83.0,5.0,22000000.0,0.411,0.107,0.524,1.964,1.08,0.639,0.151,0.231,-0.326,0.439,-0.631,0.064,0.385,-0.072
213,Carney Chukwuemeka,Dortmund,GER-Bundesliga,MF,21,919,0.008,0.887,78.0,84.0,6.0,22500000.0,0.24,0.062,0.196,1.763,1.077,0.518,0.269,0.922,-0.886,-0.311,0.432,-0.28,0.222,-0.045
214,Mateus Mane,Wolves,ENG-Premier League,MF,17,1795,0.005,1.0,71.0,84.0,13.0,4300000.0,0.099,0.165,0.201,2.056,1.504,0.264,0.125,-0.266,0.41,-0.146,1.143,0.7,-0.834,-0.971
215,Germán Valera,Elche,ESP-La Liga,MF,23,2857,0.004,0.899,76.0,80.0,4.0,11000000.0,0.091,0.233,0.284,0.882,1.418,0.451,0.244,-0.441,0.941,0.188,-0.68,0.29,-0.07,-0.199
216,Dženan Pejčinović,Wolfsburg,GER-Bundesliga,FW,20,1460,0.001,0.887,72.0,79.0,7.0,4700000.0,0.511,0.101,0.493,3.144,0.74,0.608,0.108,0.727,-0.452,0.173,0.754,-0.708,0.097,-0.583
217,Samson Baidoo,Lens,FRA-Ligue 1,DF,21,1827,0.0,0.815,76.0,83.0,7.0,14000000.0,0.118,0.022,0.148,0.788,0.148,0.301,0.276,1.136,-0.651,0.472,0.405,-0.879,-0.315,-0.167
218,Adam Karabec,Lyon,FRA-Ligue 1,MF,22,922,-0.008,0.815,73.0,79.0,6.0,4900000.0,0.153,0.205,0.098,0.879,2.05,0.54,0.311,-0.0,0.435,-0.89,-0.791,0.998,0.119,0.075
219,Lewis Miley,Newcastle,ENG-Premier League,MF,19,1496,-0.009,1.0,76.0,86.0,10.0,16000000.0,0.083,0.14,0.301,0.722,0.902,0.424,0.356,-0.434,0.115,0.47,-0.782,-0.375,0.032,0.912
220,Jan Virgili,Mallorca,ESP-La Liga,MF,19,1792,-0.011,0.899,75.0,86.0,11.0,12000000.0,0.13,0.189,0.301,1.607,1.557,0.355,0.134,-0.076,0.477,0.286,0.261,0.513,-0.535,-1.005
221,Jens Castrop,Gladbach,GER-Bundesliga,MF,22,1584,-0.013,0.887,74.0,81.0,7.0,8500000.0,0.244,0.08,0.227,1.705,1.023,0.491,0.232,0.966,-0.7,-0.14,0.358,-0.367,0.097,-0.309
222,Giovane,Hellas Verona,ITA-Serie A,FW,21,1871,-0.023,0.928,69.0,79.0,10.0,3200000.0,0.205,0.21,0.385,2.694,1.539,0.424,0.115,-1.079,0.976,-0.267,0.34,1.015,-0.689,-0.456
223,Wesley,Roma,ITA-Serie A,MF,21,2448,-0.026,0.928,79.0,85.0,6.0,28000000.0,0.091,0.197,0.184,0.919,1.213,0.52,0.284,-0.413,0.624,-0.33,-0.593,0.024,0.348,0.16
224,Arthur,Leverkusen,GER-Bundesliga,MF,22,1136,-0.047,0.887,,,,,0.094,0.095,0.317,0.792,1.188,0.513,0.413,-0.426,-0.541,0.349,-0.81,-0.104,0.201,0.999
225,Koni De Winter,Milan,ITA-Serie A,DF,23,1800,-0.048,0.928,75.0,84.0,9.0,11500000.0,0.04,0.032,0.1,0.35,0.25,0.402,0.395,-0.362,-0.423,0.116,-0.658,-0.593,0.603,0.978
226,Alex Scott,Bournemouth,ENG-Premier League,MF,21,2849,-0.051,1.0,80.0,86.0,6.0,31000000.0,0.111,0.091,0.126,1.39,0.821,0.482,0.347,-0.144,-0.457,-0.602,0.182,-0.52,0.344,0.84
227,Hugo Álvarez,Celta Vigo,ESP-La Liga,FW,22,1340,-0.057,0.899,75.0,81.0,6.0,9000000.0,0.153,0.165,0.403,0.94,1.679,0.571,0.339,-1.446,0.34,-0.239,-2.031,1.195,-0.041,1.822
228,Tim Lemperle,Hoffenheim,GER-Bundesliga,FW,23,1944,-0.064,0.887,76.0,80.0,4.0,11000000.0,0.401,0.119,0.417,2.454,1.204,0.619,0.135,0.054,-0.237,-0.199,-0.123,0.21,0.149,-0.302
229,Junior Mwanga,Strasbourg,FRA-Ligue 1,DF,22,1637,-0.07,0.815,72.0,76.0,4.0,3100000.0,0.063,0.059,0.11,0.55,0.99,0.285,0.193,0.003,-0.079,0.075,-0.245,0.882,-0.407,-0.72
230,Jon Martin,Real Sociedad,ESP-La Liga,DF,19,2250,-0.073,0.899,77.0,86.0,9.0,21000000.0,0.097,0.008,0.08,0.6,0.08,0.341,0.331,0.908,-0.873,-0.152,0.06,-1.004,0.126,0.423
231,Pablo Barrios,Atlético Madrid,ESP-La Liga,MF,22,1661,-0.074,0.899,83.0,87.0,4.0,52500000.0,0.08,0.092,0.108,1.246,1.084,0.582,0.444,-0.551,-0.558,-0.78,-0.207,-0.247,0.569,1.26
232,Ayden Heaven,Manchester Utd,ENG-Premier League,DF,18,924,-0.084,1.0,74.0,85.0,11.0,8500000.0,0.021,0.036,0.097,0.292,0.195,0.406,0.361,-0.768,-0.318,0.176,-0.767,-0.688,0.835,0.939
